order_id,item_id,product_id,quantity,list_price,discount,Extract_time,Source,exchange_rate,list_price_egp
1,1,20,1,599.99,0.2,2024-05-02 11:55:01.355526,postgres,47.8519,28710.661481
1,2,8,2,1799.99,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,86132.941481
1,3,10,2,1549.0,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,74122.5931
1,4,16,2,599.99,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,28710.661481
1,5,4,1,2899.99,0.2,2024-05-02 11:55:01.355526,postgres,47.8519,138770.03148099998
2,1,20,1,599.99,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,28710.661481
2,2,16,2,599.99,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,28710.661481
3,1,3,1,999.99,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,47851.421481
3,2,20,1,599.99,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,28710.661481
4,1,2,2,749.99,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,35888.446481
5,1,10,2,1549.0,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,74122.5931
5,2,17,1,429.0,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,20528.4651
5,3,26,1,599.99,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,28710.661481
6,1,18,1,449.0,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,21485.5031
6,2,12,2,549.99,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,26318.066481
6,3,20,1,599.99,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,28710.661481
6,4,3,2,999.99,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,47851.421481
6,5,9,2,2999.99,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,143555.221481
7,1,15,1,529.99,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,25361.028481
7,2,3,1,999.99,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,47851.421481
7,3,17,2,429.0,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,20528.4651
8,1,22,1,269.99,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,12919.534481
8,2,20,2,599.99,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,28710.661481
9,1,7,2,3999.99,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,191407.12148099998
10,1,14,1,269.99,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,12919.534481
11,1,8,1,1799.99,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,86132.941481
11,2,22,2,269.99,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,12919.534481
11,3,16,2,599.99,0.2,2024-05-02 11:55:01.355526,postgres,47.8519,28710.661481
12,1,4,2,2899.99,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,138770.03148099998
12,2,11,1,1680.99,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,80438.56538100001
13,1,13,1,269.99,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,12919.534481
13,2,17,2,429.0,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,20528.4651
13,3,20,2,599.99,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,28710.661481
13,4,16,2,599.99,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,28710.661481
14,1,6,1,469.99,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,22489.914481
15,1,12,2,549.99,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,26318.066481
15,2,8,1,1799.99,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,86132.941481
15,3,18,2,449.0,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,21485.5031
15,4,23,2,299.99,0.2,2024-05-02 11:55:01.355526,postgres,47.8519,14355.091481000001
16,1,8,1,1799.99,0.2,2024-05-02 11:55:01.355526,postgres,47.8519,86132.941481
16,2,21,1,269.99,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,12919.534481
16,3,13,2,269.99,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,12919.534481
16,4,14,1,269.99,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,12919.534481
17,1,8,1,1799.99,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,86132.941481
17,2,23,1,299.99,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,14355.091481000001
17,3,5,1,1320.99,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,63211.881381
17,4,20,2,599.99,0.2,2024-05-02 11:55:01.355526,postgres,47.8519,28710.661481
18,1,2,2,749.99,0.2,2024-05-02 11:55:01.355526,postgres,47.8519,35888.446481
18,2,22,1,269.99,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,12919.534481
18,3,7,1,3999.99,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,191407.12148099998
18,4,25,2,499.99,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,23925.471481
18,5,9,2,2999.99,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,143555.221481
19,1,10,1,1549.0,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,74122.5931
19,2,9,2,2999.99,0.2,2024-05-02 11:55:01.355526,postgres,47.8519,143555.221481
20,1,9,1,2999.99,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,143555.221481
20,2,10,2,1549.0,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,74122.5931
21,1,14,1,269.99,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,12919.534481
21,2,17,1,429.0,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,20528.4651
21,3,10,1,1549.0,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,74122.5931
22,1,15,2,529.99,0.2,2024-05-02 11:55:01.355526,postgres,47.8519,25361.028481
22,2,22,1,269.99,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,12919.534481
23,1,4,2,2899.99,0.05,2024-05-02 11:55:01.355526,postgres,47.8519,138770.03148099998
23,2,23,2,299.99,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,14355.091481000001
23,3,13,1,269.99,0.2,2024-05-02 11:55:01.355526,postgres,47.8519,12919.534481
24,1,3,2,999.99,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,47851.421481
24,2,18,2,449.0,0.07,2024-05-02 11:55:01.355526,postgres,47.8519,21485.5031
25,1,23,2,299.99,0.2,2024-05-02 11:55:01.355526,postgres,47.8519,14355.091481000001
25,2,10,2,1549.0,0.2,2024-05-02 11:55:01.355526,postgres,47.8519,74122.5931
25,3,22,1,269.99,0.2,2024-05-02 11:55:01.355526,postgres,47.8519,12919.534481
25,4,14,1,269.99,0.2,2024-05-02 11:55:01.355526,postgres,47.8519,12919.534481
25,5,21,1,269.99,0.1,2024-05-02 11:55:01.355526,postgres,47.8519,12919.534481
